"","BID_UNIT","QUANTITY","UNIT","UNIT_RATE","MILESTONE_RATE","MILESTONE_PERCENTAGE","MILESTONE_NM","MILESTONE_CTGY","MILESTONE_CTGY_GRP","CONSTRUCTION_TYPE","MARKET_ID"
"1","C-100.1",919987,"foot",17.07,10.242,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",79
"2","C-100.1A",1,"foot",17.07,14.5095,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",79
"3","C-100.1B",1,"foot",17.07,4.2675,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",79
"4","C-100.1X",1,"foot",17.07,14.5095,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Softscape",79
"5","C-100.2",919987,"foot",17.07,6.828,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",79
"6","C-100.2A",1,"foot",17.07,2.5605,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",79
"7","C-100.2B",1,"foot",17.07,2.5605,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Softscape",79
"8","C-110.1",102221,"foot",69,41.4,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",79
"9","C-110.1A",1,"foot",69,58.65,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",79
"10","C-110.1B",1,"foot",69,17.25,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",79
"11","C-110.1X",1,"foot",69,58.65,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Hardscape",79
"12","C-110.2",102221,"foot",69,27.6,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",79
"13","C-110.2A",1,"foot",69,10.35,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",79
"14","C-110.2B",1,"foot",69,10.35,15,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Hardscape",79
"15","C-120.1",25555,"foot",18.41,11.046,60,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",79
"16","C-120.1A",1,"foot",18.41,15.6485,85,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",79
"17","C-120.1B",1,"foot",18.41,4.6025,25,"2-Construction","4-Cable Placed","4-Cable Placed","New UG Microtrench",79
"18","C-120.2",25555,"foot",18.41,7.364,40,"2-Construction","5-Splice and Test","5-Splice and Test","New UG Microtrench",79
"19","C-200.1",229997,"foot",3.21,1.926,60,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",79
"20","C-200.1A",1,"foot",3.21,2.7285,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",79
"21","C-200.1B",1,"foot",3.21,0.8025,25,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",79
"22","C-200.1X",1,"foot",3.21,2.7285,85,"2-Construction","4-Cable Placed","4-Cable Placed","Existing UG",79
"23","C-200.2",229997,"foot",3.21,1.284,40,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",79
"24","C-200.2A",1,"foot",3.21,0.4815,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",79
"25","C-200.2B",1,"foot",3.21,0.4815,15,"2-Construction","5-Splice and Test","5-Splice and Test","Existing UG",79
"26","C-300.1",1277760,"foot",2.29,1.374,60,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",79
"27","C-300.1A",1,"foot",2.29,1.9465,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",79
"28","C-300.1B",1,"foot",2.29,0.5725,25,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",79
"29","C-300.1X",1,"foot",2.29,1.9465,85,"2-Construction","4-Cable Placed","4-Cable Placed","Aerial",79
"30","C-300.2",1277760,"foot",2.29,0.916,40,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",79
"31","C-300.2A",1,"foot",2.29,0.3435,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",79
"32","C-300.2B",1,"foot",2.29,0.3435,15,"2-Construction","5-Splice and Test","5-Splice and Test","Aerial",79
"33","E-200.1",2555520,"foot",0.63,0.1575,25,"4-Project Management","2-Cable Design","2-Cable Design","Project Management",79
"34","E-200.2",2555520,"foot",0.63,0.4725,75,"4-Project Management","5-Splice and Test","5-Splice and Test","Project Management",79
"35","E-300.1",1047763,"foot",1.78,1.246,70,"1-Engineering","2-Cable Design","2-Cable Design","New UG Shared",79
"36","E-300.2",1047763,"foot",1.78,0.356,20,"1-Engineering","4-Cable Placed","4-Cable Placed","New UG Shared",79
"37","E-300.3",1047763,"foot",1.78,0.178,10,"1-Engineering","6-As Built Complete","6-As Built","New UG Shared",79
